#isize,520,,,
#jsize,520,,,
i,j,lat,lon,note
451,85,43.353,145.82,nosappu misaki
389,45,45.51,141.93,soya misaki
352,147,39.968,139.724,nyudosaki
186,246,34.73,129.51,tsushima north end
215,411,25.84,131.22,minami daito jima
81,430,24.452,122.98,yonaguni jima
354,276,33.068,139.823,hachijo jima
